"","name","latitude","longitude","BPBM","description","revisions"
"50","Oreophryne ampelos","","","Y","Kraus, 2011",""
"51","Oreophryne anser","","","Y","Kraus, 2016",""
"52","Oreophryne anthonyi","","","Y","Boulenger, 1897","Van Kampen, P. N. 1919. Die Amphibienfauna von Neu-Guinea. Bijdragen tot de Dierkunde/ Contributions to Zoology. Amsterdam 21: 51–56."
"53","Oreophryne banshee","","","Y","Kraus, 2016",""
"54","Oreophryne gagneorum","","","Y","Kraus, 2013",""
"55","Oreophryne geminus","","","Y","Zweifel, Cogger, and Richards, 2005",""
"56","Oreophryne hypsiops","","","Y","Zweifel, Menzies, and Price, 2003",""
"57","Oreophryne kapisa","","","Y","Günther, 2003",""
"58","Oreophryne terrestris","","","Y","Zweifel, Cogger, and Richards, 2005",""
"59","Oreophryne albitympanum","","","N","Günther, Richards, and Tjaturadi, 2018",""
"60","Oreophryne albomaculata","","","N","Günther, Richards, and Dahl, 2014",""
"61","Oreophryne albopunctata","","","N","Van Kampen, 1909","Van Kampen, P. N. 1919. Die Amphibienfauna von Neu-Guinea. Bijdragen tot de Dierkunde/ Contributions to Zoology. Amsterdam 21: 51–56."
"62","Oreophryne alticola","","","N","Zweifel, Cogger, and Richards, 2005",""
"63","Oreophryne asplenicola","","","N","Günther, 2003",""
"64","Oreophryne atrigularis","","","N","Günther, Richards, and Iskandar, 2001",""
"65","Oreophryne brevicrus","","","N","Zweifel, 1956",""
"66","Oreophryne brevirostris","","","N","Zweifel, Cogger, and Richards, 2005",""
"67","Oreophryne celebensis","","","N","Müller, 1894","Méhely, L. von. 1901. Beiträge zur Kenntnis der Engystomatiden von Neu Guinea. Természetrajzi Füzetek. Budapest 24: 169–271."
"68","Oreophryne choerophrynoides","","","N","Günther, 2015",""
"69","Oreophryne clamata","","","N","Günther, 2003",""
"70","Oreophryne crucifer","","","N","Van Kampen, 1913","Parker, H. W. 1934. A Monograph of the Frogs of the Family Microhylidae. London: Trustees of the British Museum."
"71","Oreophryne curator","","","N","Günther, Richards, and Dahl, 2014",""
"72","Oreophryne flava","","","N","Parker, 1934",""
"73","Oreophryne flavomaculata","","","N","Günther and Richards, 2016",""
"74","Oreophryne furu","","","N","Günther, Richards, Tjaturadi, and Iskandar, 2009",""
"75","Oreophryne habbemensis","","","N","Zweifel, Cogger, and Richards, 2005",""
"76","Oreophryne idenburgensis","","","N","Zweifel, 1956",""
"77","Oreophryne jeffersoniana","","","N","Dunn, 1928","Mertens, R. 1965. Eine neue Art der Froschgattung Oreophryne von der Insel Rintja. Senckenbergiana Biologica 46: 189–191."
"78","Oreophryne kampeni","","","N","Parker, 1934",""
"79","Oreophryne mertoni","","","N","Roux, 1910","Zweifel, R. G., J. I. Menzies, and D. Price. 2003. Systematics of microhylid frogs, genus Oreophryne, from the North Coast Region of New Guinea. American Museum Novitates 3415: 1–31 (http://digitallibrary.amnh.org/handle/2246/2848)."
"80","Oreophryne minuta","","","N","Richards and Iskandar, 2000",""
"81","Oreophryne monticola","","","N","Boulenger, 1897","Boettger, O. 1898. Geschenke und Erwerbungen. C. Durch Kauf erworben. 4. Für die Reptilien- und Batrachiersammlung. Bericht der Senckenbergischen Naturforschenden Gesellschaft in Frankfurt am Main 1898: liv–lvi. || Van Kampen, P. N. 1923. The Amphibia of the Indo-Australian Archipelago. Leiden: E. J. Brill Ltd.."
"82","Oreophryne nicolasi","","","N","Richards and Günther, 2019",""
"83","Oreophryne oviprotector","","","N","Günther, Richards, Bickford, and Johnston, 2012",""
"84","Oreophryne pseudasplenicola","","","N","Günther, 2003",""
"85","Oreophryne pseudunicolor","","","N","Günther and Richards, 2016",""
"86","Oreophryne roedeli","","","N","Günther, 2015",""
"87","Oreophryne rookmaakeri","","","N","Mertens, 1927",""
"88","Oreophryne sibilans","","","N","Günther, 2003",""
"89","Oreophryne streiffeleri","","","N","Günther and Richards, 2012",""
"90","Oreophryne unicolor","","","N","Günther, 2003",""
"91","Oreophryne waira","","","N","Günther, 2003",""
"92","Oreophryne wapoga","","","N","Günther, Richards, and Iskandar, 2001",""
"93","Oreophryne wolterstorffi","","","N","Werner, 1901","Nieden, F. 1923. Anura I. Subordo Aglossa und Phaneroglossa, Sectio 1. Arcifera. Das Tierreich 46: xxxii + 584. || Tyler, M. J. 1964. Systematic position of the New Guinea frog Hylella wolterstorffi Werner. Records of the South Australian Museum 14: 675–678."
"94","Oreophryne zimmeri","","","N","Ahl, 1933",""
